oldname	newname	class	subsystem	evidence	status	emitted_turn
stock_413_b4_phys	usb_ep1_in_bd_addr_hi_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 IN BDT address-high physical alias	emitted	prior_batch_usb_ep1
main_usb_service_3a26	usb_hid_dispatch_out_report_if_ready	private_helper	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm HID OUT report dispatcher	emitted	prior_batch_usb_hid_out
flow_main_usb_service_3a26_3a3a	usb_hid_dispatch_out_report_if_ready__skip_and_reprime_uart_rx	local_label	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm HID OUT dispatch UART RX reprime path	emitted	prior_batch_usb_hid_out
flow_main_usb_service_3a26_3a40	usb_hid_dispatch_out_report_if_ready__usb_runtime_ready	local_label	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm HID OUT dispatch runtime-ready gate	emitted	prior_batch_usb_hid_out
flow_main_usb_service_3a26_3a64	usb_hid_dispatch_out_report_if_ready__clear_reply_buffer_loop	local_label	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm HID OUT dispatch reply-buffer clear loop	emitted	prior_batch_usb_hid_out
flow_main_usb_service_3a26_3a7e	usb_hid_dispatch_out_report_if_ready__dispatch_latched_report	local_label	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm HID OUT dispatch latched report path	emitted	prior_batch_usb_hid_out
flow_main_usb_service_3a26_3aa2	usb_hid_dispatch_out_report_if_ready__return	local_label	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm HID OUT dispatch return path	emitted	prior_batch_usb_hid_out
stock_0C0_b0	usb_hid_out_report_pending_b0	ram_var	usb_hid	src/dlcp_fw/asm/dlcp_main_ram.inc HID OUT pending flag alias	emitted	prior_batch_usb_hid_out
stock_0C0_b0_op	usb_hid_out_report_pending_op	ram_var	usb_hid	src/dlcp_fw/asm/dlcp_main_ram.inc HID OUT pending flag operand alias	emitted	prior_batch_usb_hid_out
stock_0C0_b0_phys	usb_hid_out_report_pending_phys	ram_var	usb_hid	src/dlcp_fw/asm/dlcp_main_ram.inc HID OUT pending flag physical alias	emitted	prior_batch_usb_hid_out
stock_0CA_b0	usb_ep1_out_copy_offset_b0	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT copy offset alias	emitted	prior_batch_usb_hid_out
stock_0CA_b0_op	usb_ep1_out_copy_offset_op	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT copy offset operand alias	emitted	prior_batch_usb_hid_out
stock_0CA_b0_phys	usb_ep1_out_copy_offset_phys	ram_var	usb_ep1	src/dlcp_fw/asm/dlcp_main_ram.inc EP1 OUT copy offset physical alias	emitted	prior_batch_usb_hid_out
stock_11A_b1	usb_hid_out_opcode_b1	ram_var	usb_hid	src/dlcp_fw/asm/dlcp_main_ram.inc HID OUT opcode alias	emitted	prior_batch_usb_hid_out
stock_11A_b1_op	usb_hid_out_opcode_op	ram_var	usb_hid	src/dlcp_fw/asm/dlcp_main_ram.inc HID OUT opcode operand alias	emitted	prior_batch_usb_hid_out
stock_11A_b1_phys	usb_hid_out_opcode_phys	ram_var	usb_hid	src/dlcp_fw/asm/dlcp_main_ram.inc HID OUT opcode physical alias	emitted	prior_batch_usb_hid_out
flow_eeprom_write_blocking_43f4	eeprom_write_blocking__wait_write_complete	local_label	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM write completion wait	emitted	prior_batch_eeprom_nvm
flow_eeprom_write_blocking_4400	eeprom_write_blocking__restore_global_interrupt	local_label	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM write GIE restore path	emitted	prior_batch_eeprom_nvm
flow_eeprom_write_blocking_4402	eeprom_write_blocking__clear_write_enable	local_label	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM write-enable cleanup	emitted	prior_batch_eeprom_nvm
main_flash_service_4406	nvm_unlock_and_set_wr	private_helper	flash	src/dlcp_fw/asm/dlcp_main_v34.asm NVM unlock and WR set helper	emitted	prior_batch_eeprom_nvm
main_flash_service_46de_low_window	eeprom_write_byte_if_changed_rcall_trampoline	private_helper	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm low-window trampoline to EEPROM write-if-changed	emitted	prior_batch_eeprom_nvm
main_flash_service_46de	eeprom_write_byte_if_changed	private_helper	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM read-then-write-if-different helper	emitted	prior_batch_eeprom_nvm
flow_main_flash_service_46de_46fe	eeprom_write_byte_if_changed__return_unchanged	local_label	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM unchanged return path	emitted	prior_batch_eeprom_nvm
main_core_service_4448	map_audio_source_selector_to_route_pair	private_helper	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm audio source selector route-pair mapper	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_444e	map_audio_source_selector_to_route_pair__selector_zero	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair selector 0 branch	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_4456	map_audio_source_selector_to_route_pair__selector_one	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair selector 1 branch	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_445c	map_audio_source_selector_to_route_pair__selector_two	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair selector 2 branch	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_4462	map_audio_source_selector_to_route_pair__selector_three	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair selector 3 branch	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_4468	map_audio_source_selector_to_route_pair__store_pair_byte1	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair second-byte store	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_446c	map_audio_source_selector_to_route_pair__decode_selector	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair selector decode	emitted	prior_batch_audio_route_pair
flow_main_core_service_4448_447c	map_audio_source_selector_to_route_pair__return	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route pair return path	emitted	prior_batch_audio_route_pair
stock_0A0_b0	audio_route_pair_byte0_b0	ram_var	i2c_secondary	src/dlcp_fw/asm/dlcp_main_ram.inc audio route pair byte 0 alias	emitted	prior_batch_audio_route_pair
stock_0A0_b0_op	audio_route_pair_byte0_op	ram_var	i2c_secondary	src/dlcp_fw/asm/dlcp_main_ram.inc audio route pair byte 0 operand alias	emitted	prior_batch_audio_route_pair
stock_0A0_b0_phys	audio_route_pair_byte0_phys	ram_var	i2c_secondary	src/dlcp_fw/asm/dlcp_main_ram.inc audio route pair byte 0 physical alias	emitted	prior_batch_audio_route_pair
stock_0B9_b0	audio_route_pair_byte1_b0	ram_var	i2c_secondary	src/dlcp_fw/asm/dlcp_main_ram.inc audio route pair byte 1 alias	emitted	prior_batch_audio_route_pair
stock_0B9_b0_op	audio_route_pair_byte1_op	ram_var	i2c_secondary	src/dlcp_fw/asm/dlcp_main_ram.inc audio route pair byte 1 operand alias	emitted	prior_batch_audio_route_pair
stock_0B9_b0_phys	audio_route_pair_byte1_phys	ram_var	i2c_secondary	src/dlcp_fw/asm/dlcp_main_ram.inc audio route pair byte 1 physical alias	emitted	prior_batch_audio_route_pair
fw_update_tx_status_buffer_019a	fw_update_tx_status_text_transmit	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm:1029-1035 loads 0x019A and tail-calls uart_tx_block_from_buffer; semantic review consensus confirmed 4/4; second-stage 16-agent review 2026-06-18 retained emitted status for reviewed 32-row set; no in-scope material issues found	emitted	semantic_review_consensus_2026_06_18
fw_update_tx_block0190_from_w	fw_update_tx_text_block_from_w	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm firmware-update text block transmit helper	emitted	prior_batch_fw_update_text
main_uart_service_44b2	uart_emit_formfeed_colon_text_line	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART text line emitter with formfeed/colon framing	emitted	prior_batch_fw_update_text
flow_uart_tx_block_from_buffe_469a	uart_tx_block_from_buffer__emit_current_byte	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART buffer transmit current-byte path	emitted	prior_batch_fw_update_text
flow_uart_tx_block_from_buffe_46a2	uart_tx_block_from_buffer__check_terminator	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART buffer terminator check	emitted	prior_batch_fw_update_text
main_core_service_46aa	uart_tx_block_load_indexed_byte	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm indexed UART TX block byte loader	emitted	prior_batch_fw_update_text
main_uart_service_43a2	uart_tx_ascii_hex_byte	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART ASCII hex byte transmitter	emitted	prior_batch_hex_helpers
tblrd_lookup	hex_scratch_nibble_to_ascii	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm TBLRD-backed hex nibble lookup helper	emitted	prior_batch_hex_helpers
uart_tx_byte_blocking_low_window	uart_tx_byte_blocking_fw_update_trampoline	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm low-window UART TX trampoline	emitted	prior_batch_hex_helpers
hex_byte_to_postinc2_from_01b	hex_store_ascii_byte_to_postinc2	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm ASCII hex byte store to POSTINC2	emitted	prior_batch_hex_helpers
hex_01b_low_nibble_to_postinc2	hex_store_ascii_low_nibble_to_postinc2	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm ASCII hex low-nibble store to POSTINC2	emitted	prior_batch_hex_helpers
timer3_blocking_delay_ms_W	timer3_blocking_delay_ms_from_w	private_helper	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 blocking delay milliseconds from W	emitted	prior_batch_timer3_ram_clear
timer3_blocking_delay_ms_W_window	timer3_blocking_delay_ms_from_w_trampoline	private_helper	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay low-window trampoline	emitted	prior_batch_timer3_ram_clear
flow_timer3_blocking_delay_4488	timer3_blocking_delay__reload_next_tick	local_label	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay next tick reload path	emitted	prior_batch_timer3_ram_clear
flow_timer3_blocking_delay_4494	timer3_blocking_delay__reload_high_speed_tick	local_label	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay high-speed reload path	emitted	prior_batch_timer3_ram_clear
flow_timer3_blocking_delay_449a	timer3_blocking_delay__write_low_power_reload_low	local_label	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay low-power reload low-byte path	emitted	prior_batch_timer3_ram_clear
flow_timer3_blocking_delay_reloaded	timer3_blocking_delay__clear_overflow_flag	local_label	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay overflow flag clear path	emitted	prior_batch_timer3_ram_clear
flow_timer3_blocking_delay_449e	timer3_blocking_delay__wait_overflow_flag	local_label	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay overflow wait loop	emitted	prior_batch_timer3_ram_clear
flow_timer3_blocking_delay_44a8	timer3_blocking_delay__check_countdown_remaining	local_label	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 delay countdown check	emitted	prior_batch_timer3_ram_clear
fsr2_from_stock003_004_plus_w	fsr2_from_scratch_base_plus_w	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm FSR2 setup from scratch base plus W	emitted	prior_batch_timer3_ram_clear
flow_ram_block_clear_4742	ram_block_clear__clear_next_byte	local_label	ram	src/dlcp_fw/asm/dlcp_main_v34.asm RAM block clear loop body	emitted	prior_batch_timer3_ram_clear
flow_ram_block_clear_4752	ram_block_clear__check_remaining	local_label	ram	src/dlcp_fw/asm/dlcp_main_v34.asm RAM block clear remaining check	emitted	prior_batch_timer3_ram_clear
main_usb_service_4412	usb_ep0_service_in_transaction	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN transaction service	emitted	prior_batch_usb_ep0_in
flow_main_usb_service_4412_4426	usb_ep0_service_in_transaction__service_payload_stream	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN payload stream service path	emitted	prior_batch_usb_ep0_in
flow_main_usb_service_4412_443a	usb_ep0_service_in_transaction__select_next_data_toggle	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-toggle select path	emitted	prior_batch_usb_ep0_in
flow_main_usb_service_4412_4442	usb_ep0_service_in_transaction__arm_in_bd	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN BDT arm path	emitted	prior_batch_usb_ep0_in
flow_main_usb_service_4412_4446	usb_ep0_service_in_transaction__return	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN transaction return path	emitted	prior_batch_usb_ep0_in
main_timer_service_477a	timer3_arm_interrupt_countdown	private_helper	timer3	src/dlcp_fw/asm/dlcp_main_v34.asm Timer3 interrupt countdown arm helper	emitted	prior_batch_timer3_standby_rx
flow_standby_event_dispatch_47a6	standby_event_dispatch__shutdown_path	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm standby event shutdown branch	emitted	prior_batch_timer3_standby_rx
flow_standby_event_dispatch_47aa	standby_event_dispatch__clear_pending_event	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm standby event pending-bit clear path	emitted	prior_batch_timer3_standby_rx
flow_standby_event_dispatch_47ac	standby_event_dispatch__tail_reconcile_state	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm standby event tail state reconciliation	emitted	prior_batch_timer3_standby_rx
main_uart_service_4860	uart_rx_ring_drain_all	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART RX ring drain helper	emitted	prior_batch_timer3_standby_rx
flow_main_uart_service_4860_4862	uart_rx_ring_drain_all__discard_next_byte	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm RX ring drain discard path	emitted	prior_batch_timer3_standby_rx
flow_main_uart_service_4860_4866	uart_rx_ring_drain_all__check_more	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm RX ring drain more-data check	emitted	prior_batch_timer3_standby_rx
flow_uart_rx_with_framing_3ab8	uart_rx_with_framing__poll_ring	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm Intel-HEX UART RX ring poll path	emitted	prior_batch_uart_rx_framing
flow_uart_rx_with_framing_3ae2	uart_rx_with_framing__wait_for_colon	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm Intel-HEX UART wait-for-colon path	emitted	prior_batch_uart_rx_framing
flow_uart_rx_with_framing_3aec	uart_rx_with_framing__check_crlf_terminator	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm Intel-HEX CRLF terminator check	emitted	prior_batch_uart_rx_framing
flow_uart_rx_with_framing_3b02	uart_rx_with_framing__latch_record_complete_flag	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm Intel-HEX record-complete flag latch	emitted	prior_batch_uart_rx_framing
flow_uart_rx_with_framing_3b06	uart_rx_with_framing__check_timeout_and_limits	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm Intel-HEX timeout/limit check	emitted	prior_batch_uart_rx_framing
flow_uart_rx_with_framing_3b16	uart_rx_with_framing__stop_timer_return_count	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm Intel-HEX stop-timer return path	emitted	prior_batch_uart_rx_framing
main_core_service_4516	drive_audio_route_select_latches	private_helper	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm LATA audio route select latch driver	emitted	prior_batch_route_latches
flow_main_core_service_4516_451a	drive_audio_route_select_latches__all_selects_low	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch all selects low path	emitted	prior_batch_route_latches
flow_main_core_service_4516_451e	drive_audio_route_select_latches__set_lata3_clear_lata4_lata5	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch LATA3 high path	emitted	prior_batch_route_latches
flow_main_core_service_4516_4520	drive_audio_route_select_latches__clear_lata4_lata5	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch clear LATA4/LATA5 path	emitted	prior_batch_route_latches
flow_main_core_service_4516_4526	drive_audio_route_select_latches__clear_lata3_lata4_set_lata5	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch LATA5 high path	emitted	prior_batch_route_latches
flow_main_core_service_4516_452c	drive_audio_route_select_latches__clear_lata3_set_lata4_lata5	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch LATA4/LATA5 high path	emitted	prior_batch_route_latches
flow_main_core_service_4516_4530	drive_audio_route_select_latches__set_lata5	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch set LATA5 path	emitted	prior_batch_route_latches
flow_main_core_service_4516_4534	drive_audio_route_select_latches__decode_route_code	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch route-code decode	emitted	prior_batch_route_latches
flow_main_core_service_4516_4544	drive_audio_route_select_latches__return	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route latch return path	emitted	prior_batch_route_latches
main_core_service_4574	preset_replay_selected_table_blocking	private_helper	preset	src/dlcp_fw/asm/dlcp_main_v34.asm selected preset table replay helper	emitted	prior_batch_preset_replay
flow_main_core_service_4574_457e	preset_replay_selected_table_blocking__apply_next_entry	local_label	preset	src/dlcp_fw/asm/dlcp_main_v34.asm selected preset replay loop entry	emitted	prior_batch_preset_replay
main_core_service_4574_final	preset_replay_selected_table_blocking__apply_final_entry	local_label	preset	src/dlcp_fw/asm/dlcp_main_v34.asm selected preset replay final entry path	emitted	prior_batch_preset_replay
main_core_service_4574_fail	preset_replay_selected_table_blocking__return_failure	local_label	preset	src/dlcp_fw/asm/dlcp_main_v34.asm selected preset replay failure return path	emitted	prior_batch_preset_replay
main_i2c_service_464c	i2c_receive_sspbuf_bounded	private_helper	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm bounded SSPBUF receive helper	emitted	prior_batch_i2c_receive
flow_main_i2c_service_464c_4668	i2c_receive_sspbuf_bounded__enable_rcen	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm bounded I2C receive RCEN enable path	emitted	prior_batch_i2c_receive
main_i2c_service_464c_timeout	i2c_receive_sspbuf_bounded__timeout	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm bounded I2C receive timeout path	emitted	prior_batch_i2c_receive
inline_data_table_47E6	fw_update_status_text_seed_table	data_table	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm firmware-update status text seed table	emitted	prior_batch_table_rx
flow_rx_ring_read_4620	rx_ring_read__return_byte_or_zero	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm RX ring read return byte-or-zero path	emitted	prior_batch_table_rx
flow_main_uart_service_1be6_1bea	uart_link_parser__poll_rx_ring	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser RX poll path	emitted	prior_batch_uart_parser_tail
flow_main_uart_service_1be6_1e6c	uart_link_parser__handler_return_tail	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser shared handler tail	emitted	prior_batch_uart_parser_tail
flow_main_uart_service_1be6_1e78	uart_link_parser__clear_pending_echo	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser echo clear path	emitted	prior_batch_uart_parser_tail
flow_main_uart_service_1be6_1e7c	uart_link_parser__mark_no_rx_data_return	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser no-data return path	emitted	prior_batch_uart_parser_tail
flow_main_uart_service_1be6_1e80	uart_link_parser__return_if_idle_else_poll	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser idle/poll tail	emitted	prior_batch_uart_parser_tail
flow_main_uart_service_1be6_1e6c_high_window	uart_link_parser__handler_return_tail_trampoline	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser high-window tail trampoline	emitted	prior_batch_uart_parser_tail
stock_0CD_b0	usb_device_state_b0	ram_var	usb_ep0	src/dlcp_fw/asm/dlcp_main_ram.inc USB device state alias	emitted	prior_batch_usb_state
stock_0CD_b0_op	usb_device_state_op	ram_var	usb_ep0	src/dlcp_fw/asm/dlcp_main_ram.inc USB device state operand alias	emitted	prior_batch_usb_state
stock_0CD_b0_phys	usb_device_state_phys	ram_var	usb_ep0	src/dlcp_fw/asm/dlcp_main_ram.inc USB device state physical alias	emitted	prior_batch_usb_state
main_core_service_4672	fw_update_emit_zero_status_lines	private_helper	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm firmware-update zero status line emitter	emitted	prior_batch_fw_zero_status
stock_1F4_b1	fw_update_zero_status_text_b1	ram_var	uart_link	src/dlcp_fw/asm/dlcp_main_ram.inc firmware-update zero status text alias	emitted	prior_batch_fw_zero_status
stock_1F4_b1_op	fw_update_zero_status_text_op	ram_var	uart_link	src/dlcp_fw/asm/dlcp_main_ram.inc firmware-update zero status text operand alias	emitted	prior_batch_fw_zero_status
stock_1F4_b1_phys	fw_update_zero_status_text_phys	ram_var	uart_link	src/dlcp_fw/asm/dlcp_main_ram.inc firmware-update zero status text physical alias	emitted	prior_batch_fw_zero_status
flow_main_uart_service_1be6_1bf4	uart_link_parser__read_next_byte	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser next-byte read path	emitted	prior_batch_uart_parser_route_payload
flow_main_uart_service_1be6_1c0e	uart_link_parser__check_b1_address_route	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm UART link parser B1 address-route check	emitted	prior_batch_uart_parser_route_payload
